NO_KASUS,TAHUN,REGISTER,AGENDA_KE,AGENDA_RAW
2959,2019,060/XII/KIP-PS/2019,8,25 Mei (Mediasi I)
2959,2019,060/XII/KIP-PS/2019,9,4 Juni 2021 (Mediasi II)
2959,2019,060/XII/KIP-PS/2019,10,09 Juni 2021 Pembacaan Putusan
2960,2019,061/XII/KIP-PS/2019,1,21/12/2020 (PEMERIKSAAN AWAL)
2960,2019,061/XII/KIP-PS/2019,2,02/03/2020 (SIDANG LANJUTAN)
2960,2019,061/XII/KIP-PS/2019,3,10 Maret 2021 mediasi 1)
2960,2019,061/XII/KIP-PS/2019,4,4 Juni 2021  Sidang Lanjutan
2960,2019,061/XII/KIP-PS/2019,5,09/08/2021 (Pembacaan Putusan)
2962,2019,063/XII/KIP-PS/2019,1,18/08/2021 (Pemeriksaan Awal)
2962,2019,063/XII/KIP-PS/2019,2,25/08/2021 Sidang Lanjutan II) Pembacaan Putusan
2963,2020,001/I/KIP-PS/2020,1,2021-05-21 00:00:00
2963,2020,001/I/KIP-PS/2020,2,25 Mei 2021 (Mediasi I)
2963,2020,001/I/KIP-PS/2020,3,4 Juni 2021 (Mediasi II)
2963,2020,001/I/KIP-PS/2020,4,18 Agustus 2021 (Mediasi gagal)
2963,2020,001/I/KIP-PS/2020,5,30 Agustus 2021 Sidang Lanjutan
2963,2020,001/I/KIP-PS/2020,6,2021-09-07 00:00:00
2963,2020,001/I/KIP-PS/2020,7,2021-10-07 00:00:00
2963,2020,001/I/KIP-PS/2020,8,2021-10-25 00:00:00
2963,2020,001/I/KIP-PS/2020,9,2 Desember 2021 Lanjutan
2963,2020,001/I/KIP-PS/2020,10,13 Januari 2022 (Pembacaan Putusan)
2965,2020,003/II/KIP-PS/2020,1,Register dihapus
2966,2020,004/II/KIP-PS/2020,1,Register dihapus
2968,2020,006/IV/KIP-PS/2020,1,04/02/2021 (Pemeriksaan Awal)
2968,2020,006/IV/KIP-PS/2020,2,11/02/2021 (Pemeriksaan Lanjutan)
2968,2020,006/IV/KIP-PS/2020,3,23/02/2021 (Pemeriksaan Lanjutan)
2968,2020,006/IV/KIP-PS/2020,4,04 Maret 2021 (Pembacaan Putusan)
2970,2020,008/V/KIP-PS/2020,1,18/12/2020 (Pemeriksaan Awal I)
2970,2020,008/V/KIP-PS/2020,2,08/01/2020 Sidang Lanjutan
2971,2020,009/V/KIP-PS/2020,1,18/12/2020 (Pemeriksaan Awal I)
2971,2020,009/V/KIP-PS/2020,2,08/01/2020 Sidang Lanjutan
2971,2020,009/V/KIP-PS/2020,3,12/01/2021 Sidang Lanjutan
2971,2020,009/V/KIP-PS/2020,4,25/01/2021 (Pemeriksaan Tertutup)
2971,2020,009/V/KIP-PS/2020,5,02/02/2021 (Pemeriksaan Tertutup)
2971,2020,009/V/KIP-PS/2020,6,23/02/2021 (Sidang Pemeriksaan Lanjutan)
2972,2020,010/VI/KIP-PS/2020,1,18/12/2020 (Pemeriksaan Awal I)
2972,2020,010/VI/KIP-PS/2020,2,12/1/2021 (Penetapan Pencabutan)
2973,2020,011/VI/KIP-PS/2020,1,26 Agustus 2025 Pembacaan Putusan
2974,2020,012/VI/KIP-PS/2020,1,22/12/2020 (Pemeriksaan Awal)
2974,2020,012/VI/KIP-PS/2020,2,11/01/2021 (Mediasi I)
2974,2020,012/VI/KIP-PS/2020,3,25/01/2021 (Mediasi II)
2974,2020,012/VI/KIP-PS/2020,4,26/01/2021 (Mediasi III) GAGAL
2974,2020,012/VI/KIP-PS/2020,5,02/02/2021 (Sidang Lanjutan)
2974,2020,012/VI/KIP-PS/2020,6,23/02/2021 (Sidang Pemeriksaan Lanjutan)
2974,2020,012/VI/KIP-PS/2020,7,24 Mei 2021 (Pembacaan Putusan)
2975,2020,013/VI/KIP-PS/2020,1,16/07/2020 (Pemeriksaan Awal)
2975,2020,013/VI/KIP-PS/2020,2,22/07/2020 (Online)
2975,2020,013/VI/KIP-PS/2020,3,10/08/2020 (Uji Konsekuensi)
2975,2020,013/VI/KIP-PS/2020,4,2020-08-25 00:00:00
2975,2020,013/VI/KIP-PS/2020,5,2020-09-16 00:00:00
2975,2020,013/VI/KIP-PS/2020,6,24/09/2020 (P. Tertutup I)
2975,2020,013/VI/KIP-PS/2020,7,12 Oktober 2020 (P. Tertutup II)
2975,2020,013/VI/KIP-PS/2020,8,2020-10-19 00:00:00
2975,2020,013/VI/KIP-PS/2020,9,23 November 2020 (Pembacaan Putusan)
2977,2020,015/VII/KIP-PS/2020,1,22/12/2020 (Pemeriksaan Awal I)
2977,2020,015/VII/KIP-PS/2020,2,12 Januari 2021 (Mediasi I)
2977,2020,015/VII/KIP-PS/2020,3,25 Januari 2021 Sidang Lanjutan
2977,2020,015/VII/KIP-PS/2020,4,02 Februari 2021 (Putusan)
2978,2020,016/VII/KIP-PS/2020,1,16 Januari 2022 (Putusan)
2979,2020,017/VIII/KIP-PS/2020,1,22/2/2021(Pemeriksaan Awal + Penetapan Cabut)
2981,2020,019/IX/KIP-PS/2020,1,22/09/2021 (Pemeriksaan Awal)
2981,2020,019/IX/KIP-PS/2020,2,30 September 2021 (Mediasi I Sepakat Mediasi)
2981,2020,019/IX/KIP-PS/2020,3,1 Oktober 2021 (Pembacaan Putusan)
